"","facility_id","common_name","address","zip_code","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","geom"
"817",688,"Fire Division of Training  - Treasure Island","600 Avenue M",94130,"Own",38,"Fire Department",5040,-122.36705182,37.827059326,"POINT (-122.36705181999997 37.82705932599998)"
"818",1323,"Portsmouth Square Bathrooms","733 Kearny St",94111,"Own",49,"Recreation And Parks",636,-122.405403348,37.794808521,"POINT (-122.405403348 37.79480852099999)"
"819",585,"Dianne Feinstein Elementary","2550 25th Ave",94116,"Own",16,"School District (Sfusd)",62087,-122.481366399,37.739685845,"POINT (-122.48136639900002 37.739685845)"
"820",1113,"Mission Bay Library","960 04th St",94158,"Own",48,"Public Library",8500,-122.393097384,37.775369728,"POINT (-122.39309738399999 37.77536972799999)"
"821",2031,"14th AVE./QUINTARA SFMTA Operator Bathroom","14th Ave & Quintara St",94116,"Own",42,"Municipal Transportation Agency",2640,-122.470827343,37.748700681,"POINT (-122.470827343 37.748700681)"
"822",116,"Alta Plaza Bathrooms","2599 Jackson St",94115,"Own",49,"Recreation And Parks",432,-122.438161916,37.79123938,"POINT (-122.43816191600001 37.79123937999998)"
"823",412,"Cayuga Clubhouse","301 Naglee Ave",94117,"Own",49,"Recreation And Parks",900,-122.449812708,37.714212002,"POINT (-122.44981270800002 37.71421200200001)"
"824",1590,"Shorey Childrens Center","1030 Oakdale Ave",94124,"Own",77,"Public Works",9700,-122.380080623,37.729034657,"POINT (-122.38008062300003 37.729034657)"
"825",1412,"Rochambeau Clubhouse","250 25th Ave",94121,"Own",49,"Recreation And Parks",1482,-122.484566489,37.784986852,"POINT (-122.48456648899997 37.784986851999975)"
"826",15,"Cesar Chavez Elementary","825 Shotwell St",94110,"Own",16,"School District (Sfusd)",49100,-122.415092068,37.75489898,"POINT (-122.41509206799998 37.75489898000001)"
"827",1872,"Women's Resource Center","930 Bryant St",94103,"Own",15,"Sheriff",5920,-122.40558518,37.773871759,"POINT (-122.40558518 37.773871758999974)"
"828",1442,"SAN JOSE SUBSTATION","2200 San Jose Ave",94112,"Own",42,"Municipal Transportation Agency",4000,-122.445631231,37.722282414,"POINT (-122.445631231 37.722282414000006)"
